Script started on Tue 10 Aug 2021 09:12:14 PM EDT
[?1034hbash-4.2$ clear./trie[K[K[K[K[K[K./sort
array[0]: 1384
array[1]: 302336
array[2]: 178363
array[3]: 409927
array[4]: 189212
array[5]: 861531
array[6]: 713930
array[7]: 522168
array[8]: 680230
array[9]: 162538
array[10]: 94414
array[11]: 697874
array[12]: 726306
array[13]: 982506
array[14]: 880125
array[15]: 969368
array[16]: 563088
array[17]: 785585
array[18]: 879933
array[19]: 722013
array[20]: 876796
array[21]: 738602
array[22]: 374653
array[23]: 313442
array[24]: 374441
array[25]: 865772
array[26]: 920568
array[27]: 436966
array[28]: 307529
array[29]: 458020
array[30]: 42341
array[31]: 66246
array[32]: 344380
array[33]: 520351
array[34]: 670125
array[35]: 274492
array[36]: 79433
array[37]: 983408
array[38]: 1020030
array[39]: 262429
array[40]: 22777
array[41]: 846539
array[42]: 547129
array[43]: 530997
array[44]: 42491
array[45]: 275591
array[46]: 387670
array[47]: 795508
array[48]: 589623
array[49]: 867569
array[50]: 355606
array[51]: 251306
array[52]: 304523
array[53]: 821259
array[54]: 370601
array[55]: 625551
array[56]: 367882
array[57]: 410164
array[58]: 56960
array[59]: 577096
array[60]: 470091
array[61]: 387108
array[62]: 378888
array[63]: 846010
array[64]: 710207
array[65]: 305256
array[66]: 235940
array[67]: 498229
array[68]: 155921
array[69]: 558082
array[70]: 855673
array[71]: 843300
array[72]: 296299
array[73]: 716582
array[74]: 327995
array[75]: 5777
array[76]: 103580
array[77]: 847568
array[78]: 863327
array[79]: 35507
array[80]: 813529
array[81]: 1018499
array[82]: 711304
array[83]: 239755
array[84]: 274501
array[85]: 902991
array[86]: 974254
array[87]: 501997
array[88]: 535437
array[89]: 186305
array[90]: 771557
array[91]: 467044
array[92]: 632501
array[93]: 607152
array[94]: 414216
array[95]: 486965
array[96]: 471178
array[97]: 996290
array[98]: 944744
array[99]: 911341
array[100]: 460262
array[101]: 746762
array[102]: 906997
array[103]: 839627
array[104]: 256206
array[105]: 564347
array[106]: 101579
array[107]: 220971
array[108]: 806858
array[109]: 132356
array[110]: 245611
array[111]: 703642
array[112]: 66339
array[113]: 894418
array[114]: 155206
array[115]: 950784
array[116]: 748290
array[117]: 557315
array[118]: 939619
array[119]: 591234
array[120]: 222271
array[121]: 780364
array[122]: 292432
array[123]: 225792
array[124]: 856575
array[125]: 843022
array[126]: 290099
array[127]: 497003
array[128]: 782339
array[129]: 931863
array[130]: 471537
array[131]: 1015760
array[132]: 660128
array[133]: 651106
array[134]: 129806
array[135]: 857615
array[136]: 824806
array[137]: 916031
array[138]: 573487
array[139]: 214714
array[140]: 223089
array[141]: 507018
array[142]: 17154
array[143]: 881292
array[144]: 52964
array[145]: 106905
array[146]: 8790
array[147]: 877251
array[148]: 882196
array[149]: 128227
array[150]: 948866
array[151]: 833519
array[152]: 600380
array[153]: 466428
array[154]: 99399
array[155]: 342031
array[156]: 534048
array[157]: 517205
array[158]: 219641
array[159]: 653684
array[160]: 178273
array[161]: 913458
array[162]: 448270
array[163]: 681934
array[164]: 611798
array[165]: 734699
array[166]: 497053
array[167]: 82011
array[168]: 402001
array[169]: 673115
array[170]: 561148
array[171]: 660123
array[172]: 896591
array[173]: 735858
array[174]: 647721
array[175]: 463416
array[176]: 52893
array[177]: 3182
array[178]: 340596
array[179]: 355777
array[180]: 395933
array[181]: 924861
array[182]: 404286
array[183]: 843477
array[184]: 483529
array[185]: 685361
array[186]: 202583
array[187]: 538226
array[188]: 68009
array[189]: 281098
array[190]: 558652
array[191]: 268399
array[192]: 49891
array[193]: 982088
array[194]: 844953
array[195]: 811299
array[196]: 687267
array[197]: 1003594
array[198]: 346775
array[199]: 462284
array[200]: 922694
array[201]: 260160
array[202]: 698763
array[203]: 255851
array[204]: 433155
array[205]: 404365
array[206]: 130038
array[207]: 411281
array[208]: 819971
array[209]: 333518
array[210]: 1021301
array[211]: 67490
array[212]: 705680
array[213]: 114637
array[214]: 502650
array[215]: 529887
array[216]: 592153
array[217]: 934110
array[218]: 94549
array[219]: 1199
array[220]: 590469
array[221]: 763287
array[222]: 133246
array[223]: 450051
array[224]: 882043
array[225]: 673845
array[226]: 349384
array[227]: 393957
array[228]: 356968
array[229]: 796869
array[230]: 761719
array[231]: 709473
array[232]: 41934
array[233]: 704154
array[234]: 163486
array[235]: 997560
array[236]: 113720
array[237]: 897481
array[238]: 951709
array[239]: 18432
array[240]: 985614
array[241]: 667668
array[242]: 169096
array[243]: 960387
array[244]: 892374
array[245]: 183280
array[246]: 799340
array[247]: 747516
array[248]: 15012
array[249]: 639288
array[250]: 183355
array[251]: 16064
array[252]: 926706
array[253]: 262820
array[254]: 100670
array[255]: 493563
array[256]: 226705
array[257]: 874817
array[258]: 918444
array[259]: 810448
array[260]: 916900
array[261]: 87427
array[262]: 501108
array[263]: 648821
array[264]: 670124
array[265]: 546313
array[266]: 319157
array[267]: 219423
array[268]: 1016802
array[269]: 170926
array[270]: 506528
array[271]: 557197
array[272]: 606500
array[273]: 758142
array[274]: 167199
array[275]: 71632
array[276]: 856347
array[277]: 297541
array[278]: 742159
array[279]: 1001473
array[280]: 593604
array[281]: 674340
array[282]: 750268
array[283]: 560861
array[284]: 214280
array[285]: 185599
array[286]: 920977
array[287]: 74801
array[288]: 134940
array[289]: 522607
array[290]: 938752
array[291]: 955987
array[292]: 790548
array[293]: 772920
array[294]: 455495
array[295]: 711769
array[296]: 947989
array[297]: 764487
array[298]: 654696
array[299]: 20067
array[300]: 854854
array[301]: 826273
array[302]: 437878
array[303]: 31004
array[304]: 86050
array[305]: 434004
array[306]: 629764
array[307]: 27015
array[308]: 618409
array[309]: 404635
array[310]: 830766
array[311]: 634617
array[312]: 364367
array[313]: 791777
array[314]: 685063
array[315]: 232509
array[316]: 218545
array[317]: 53566
array[318]: 732909
array[319]: 465843
array[320]: 730835
array[321]: 620697
array[322]: 103717
array[323]: 783862
array[324]: 473880
array[325]: 846629
array[326]: 705871
array[327]: 98501
array[328]: 218291
array[329]: 526881
array[330]: 282383
array[331]: 710752
array[332]: 309169
array[333]: 816978
array[334]: 452347
array[335]: 472412
array[336]: 674794
array[337]: 900372
array[338]: 401884
array[339]: 430068
array[340]: 361458
array[341]: 977691
array[342]: 308336
array[343]: 338256
array[344]: 439654
array[345]: 987205
array[346]: 766827
array[347]: 908729
array[348]: 491521
array[349]: 480617
array[350]: 651512
array[351]: 605863
array[352]: 886969
array[353]: 174888
array[354]: 363824
array[355]: 368281
array[356]: 1008855
array[357]: 239743
array[358]: 1414
array[359]: 545756
array[360]: 307924
array[361]: 633943
array[362]: 915760
array[363]: 686159
array[364]: 398615
array[365]: 79422
array[366]: 237833
array[367]: 34357
array[368]: 510570
array[369]: 907459
array[370]: 654990
array[371]: 58239
array[372]: 397458
array[373]: 73808
array[374]: 905129
array[375]: 156393
array[376]: 433708
array[377]: 657486
array[378]: 575635
array[379]: 447695
array[380]: 69521
array[381]: 1011493
array[382]: 679309
array[383]: 294803
array[384]: 352926
array[385]: 886549
array[386]: 60050
array[387]: 179655
array[388]: 920558
array[389]: 365221
array[390]: 642783
array[391]: 305016
array[392]: 840725
array[393]: 596293
array[394]: 450642
array[395]: 504261
array[396]: 1009917
array[397]: 986018
array[398]: 394675
array[399]: 920977
array[400]: 474537
array[401]: 843317
array[402]: 896987
array[403]: 708967
array[404]: 970947
array[405]: 785935
array[406]: 945951
array[407]: 160852
array[408]: 439162
array[409]: 326564
array[410]: 29321
array[411]: 996997
array[412]: 803429
array[413]: 555683
array[414]: 800950
array[415]: 702947
array[416]: 260629
array[417]: 115014
array[418]: 952985
array[419]: 590385
array[420]: 738685
array[421]: 360451
array[422]: 323429
array[423]: 210854
array[424]: 166978
array[425]: 492035
array[426]: 869266
array[427]: 744377
array[428]: 739964
array[429]: 207797
array[430]: 875670
array[431]: 979802
array[432]: 832030
array[433]: 692713
array[434]: 292514
array[435]: 64111
array[436]: 23196
array[437]: 441737
array[438]: 698296
array[439]: 114858
array[440]: 859739
array[441]: 100402
array[442]: 942807
array[443]: 463827
array[444]: 329883
array[445]: 633291
array[446]: 486864
array[447]: 980769
array[448]: 804602
array[449]: 968292
array[450]: 703276
array[451]: 431652
array[452]: 414902
array[453]: 389956
array[454]: 285641
array[455]: 205511
array[456]: 703295
array[457]: 567886
array[458]: 87881
array[459]: 694645
array[460]: 831787
array[461]: 259853
array[462]: 153514
array[463]: 1022208
array[464]: 262108
array[465]: 18773
array[466]: 182309
array[467]: 312486
array[468]: 772752
array[469]: 666449
array[470]: 741151
array[471]: 973389
array[472]: 520719
array[473]: 906862
array[474]: 666130
array[475]: 43058
array[476]: 53761
array[477]: 208826
array[478]: 104849
array[479]: 427311
array[480]: 313247
array[481]: 80301
array[482]: 42551
array[483]: 86242
array[484]: 576110
array[485]: 281320
array[486]: 164764
array[487]: 291306
array[488]: 984130
array[489]: 1013056
array[490]: 596238
array[491]: 190881
array[492]: 858712
array[493]: 585043
array[494]: 169219
array[495]: 832211
array[496]: 458836
array[497]: 818054
array[498]: 903999
array[499]: 183565
array[500]: 713753
array[501]: 53825
array[502]: 146081
array[503]: 119175
array[504]: 825971
array[505]: 782849
array[506]: 218251
array[507]: 374462
array[508]: 619599
array[509]: 371455
array[510]: 281258
array[511]: 863172
array[512]: 870947
array[513]: 573273
array[514]: 663193
array[515]: 43876
array[516]: 231270
array[517]: 138596
array[518]: 625821
array[519]: 724265
array[520]: 767745
array[521]: 976873
array[522]: 747194
array[523]: 581529
array[524]: 980230
array[525]: 377178
array[526]: 888370
array[527]: 430108
array[528]: 223441
array[529]: 755187
array[530]: 881079
array[531]: 764400
array[532]: 672533
array[533]: 542231
array[534]: 928243
array[535]: 708523
array[536]: 631329
array[537]: 140627
array[538]: 607669
array[539]: 700175
array[540]: 839740
array[541]: 154335
array[542]: 297547
array[543]: 287038
array[544]: 71301
array[545]: 307938
array[546]: 739222
array[547]: 809711
array[548]: 552894
array[549]: 419118
array[550]: 185894
array[551]: 297336
array[552]: 690418
array[553]: 928875
array[554]: 472404
array[555]: 440340
array[556]: 475819
array[557]: 273914
array[558]: 669005
array[559]: 450749
array[560]: 894797
array[561]: 1012681
array[562]: 954158
array[563]: 848251
array[564]: 546441
array[565]: 93112
array[566]: 420278
array[567]: 452343
array[568]: 699879
array[569]: 212903
array[570]: 837576
array[571]: 311301
array[572]: 724697
array[573]: 577826
array[574]: 529588
array[575]: 37903
array[576]: 680168
array[577]: 35631
array[578]: 471158
array[579]: 573765
array[580]: 286053
array[581]: 123328
array[582]: 733305
array[583]: 479618
array[584]: 512708
array[585]: 690160
array[586]: 110979
array[587]: 295745
array[588]: 68899
array[589]: 480272
array[590]: 986688
array[591]: 933437
array[592]: 3067
array[593]: 923661
array[594]: 995330
array[595]: 509216
array[596]: 154869
array[597]: 170963
array[598]: 776959
array[599]: 22935
array[600]: 231328
array[601]: 56495
array[602]: 323054
array[603]: 22356
array[604]: 734661
array[605]: 944546
array[606]: 617108
array[607]: 296607
array[608]: 677003
array[609]: 899893
array[610]: 202912
array[611]: 552324
array[612]: 805303
array[613]: 761691
array[614]: 394058
array[615]: 254769
array[616]: 541342
array[617]: 731559
array[618]: 78260
array[619]: 714801
array[620]: 200539
array[621]: 934764
array[622]: 171747
array[623]: 689763
array[624]: 871451
array[625]: 905139
array[626]: 991430
array[627]: 516719
array[628]: 526391
array[629]: 334318
array[630]: 648882
array[631]: 34880
array[632]: 220174
array[633]: 602075
array[634]: 717957
array[635]: 858213
array[636]: 238198
array[637]: 441662
array[638]: 667378
array[639]: 1016853
array[640]: 1020124
array[641]: 1015780
array[642]: 375250
array[643]: 235003
array[644]: 718021
array[645]: 940944
array[646]: 316194
array[647]: 406108
array[648]: 914290
array[649]: 299151
array[650]: 175573
array[651]: 285539
array[652]: 69683
array[653]: 715468
array[654]: 401625
array[655]: 129326
array[656]: 846229
array[657]: 736314
array[658]: 174733
array[659]: 375386
array[660]: 623339
array[661]: 714858
array[662]: 375194
array[663]: 721406
array[664]: 921874
array[665]: 961592
array[666]: 288023
array[667]: 326527
array[668]: 136682
array[669]: 658940
array[670]: 847024
array[671]: 607605
array[672]: 526070
array[673]: 176681
array[674]: 982767
array[675]: 435503
array[676]: 66873
array[677]: 544078
array[678]: 914441
array[679]: 896350
array[680]: 944670
array[681]: 141876
array[682]: 420173
array[683]: 193444
array[684]: 846427
array[685]: 274290
array[686]: 191425
array[687]: 225641
array[688]: 989223
array[689]: 942951
array[690]: 392388
array[691]: 541033
array[692]: 688744
array[693]: 652838
array[694]: 815399
array[695]: 366848
array[696]: 761164
array[697]: 924416
array[698]: 889221
array[699]: 242942
array[700]: 658441
array[701]: 820654
array[702]: 49456
array[703]: 262093
array[704]: 119127
array[705]: 529185
array[706]: 617291
array[707]: 136513
array[708]: 145812
array[709]: 314925
array[710]: 249737
array[711]: 948804
array[712]: 464898
array[713]: 87200
array[714]: 852666
array[715]: 995978
array[716]: 598767
array[717]: 699401
array[718]: 86335
array[719]: 448217
array[720]: 332215
array[721]: 554242
array[722]: 216255
array[723]: 327288
array[724]: 687390
array[725]: 332311
array[726]: 472270
array[727]: 6721
array[728]: 508500
array[729]: 359933
array[730]: 666399
array[731]: 564458
array[732]: 92022
array[733]: 433997
array[734]: 527804
array[735]: 80837
array[736]: 423524
array[737]: 483464
array[738]: 738059
array[739]: 10376
array[740]: 46912
array[741]: 826033
array[742]: 56676
array[743]: 86444
array[744]: 667602
array[745]: 804876
array[746]: 176102
array[747]: 975375
array[748]: 185126
array[749]: 300680
array[750]: 429691
array[751]: 478311
array[752]: 861508
array[753]: 898990
array[754]: 786378
array[755]: 98198
array[756]: 319956
