Script started on Tue 10 Aug 2021 11:49:40 PM EDT
[?1034hbash-4.2$ ./sort
Sort 25000 Numbers
Sorted Array[0] 1
Sorted Array[1] 10
Sorted Array[2] 78
Sorted Array[3] 95
Sorted Array[4] 129
Sorted Array[5] 192
Sorted Array[6] 195
Sorted Array[7] 226
Sorted Array[8] 238
Sorted Array[9] 258
Sorted Array[10] 390
Sorted Array[11] 431
Sorted Array[12] 446
Sorted Array[13] 492
Sorted Array[14] 604
Sorted Array[15] 631
Sorted Array[16] 673
Sorted Array[17] 686
Sorted Array[18] 694
Sorted Array[19] 718
Sorted Array[20] 733
Sorted Array[21] 745
Sorted Array[22] 796
Sorted Array[23] 882
Sorted Array[24] 907
Sorted Array[25] 913
Sorted Array[26] 929
Sorted Array[27] 931
Sorted Array[28] 951
Sorted Array[29] 956
Sorted Array[30] 991
Sorted Array[31] 1007
Sorted Array[32] 1017
Sorted Array[33] 1027
Sorted Array[34] 1135
Sorted Array[35] 1188
Sorted Array[36] 1199
Sorted Array[37] 1319
Sorted Array[38] 1384
Sorted Array[39] 1385
Sorted Array[40] 1414
Sorted Array[41] 1456
Sorted Array[42] 1461
Sorted Array[43] 1541
Sorted Array[44] 1599
Sorted Array[45] 1605
Sorted Array[46] 1658
Sorted Array[47] 1658
Sorted Array[48] 1670
Sorted Array[49] 1718
Sorted Array[50] 1733
Sorted Array[51] 1838
Sorted Array[52] 1876
Sorted Array[53] 2089
Sorted Array[54] 2089
Sorted Array[55] 2327
Sorted Array[56] 2344
Sorted Array[57] 2350
Sorted Array[58] 2350
Sorted Array[59] 2420
Sorted Array[60] 2599
Sorted Array[61] 2637
Sorted Array[62] 2744
Sorted Array[63] 2749
Sorted Array[64] 2770
Sorted Array[65] 2782
Sorted Array[66] 2819
Sorted Array[67] 2823
Sorted Array[68] 3053
Sorted Array[69] 3060
Sorted Array[70] 3067
Sorted Array[71] 3159
Sorted Array[72] 3182
Sorted Array[73] 3260
Sorted Array[74] 3308
Sorted Array[75] 3641
Sorted Array[76] 3723
Sorted Array[77] 3724
Sorted Array[78] 3729
Sorted Array[79] 3777
Sorted Array[80] 3910
Sorted Array[81] 4070
Sorted Array[82] 4091
Sorted Array[83] 4157
Sorted Array[84] 4158
Sorted Array[85] 4213
Sorted Array[86] 4245
Sorted Array[87] 4313
Sorted Array[88] 4340
Sorted Array[89] 4346
Sorted Array[90] 4352
Sorted Array[91] 4358
Sorted Array[92] 4375
Sorted Array[93] 4466
Sorted Array[94] 4546
Sorted Array[95] 4549
Sorted Array[96] 4585
Sorted Array[97] 4601
Sorted Array[98] 4641
Sorted Array[99] 4696
Sorted Array[100] 4706
Sorted Array[101] 4727
Sorted Array[102] 4751
Sorted Array[103] 4806
Sorted Array[104] 4822
Sorted Array[105] 4896
Sorted Array[106] 4909
Sorted Array[107] 4932
Sorted Array[108] 4954
Sorted Array[109] 5011
Sorted Array[110] 5017
Sorted Array[111] 5053
Sorted Array[112] 5055
Sorted Array[113] 5084
Sorted Array[114] 5132
Sorted Array[115] 5152
Sorted Array[116] 5178
Sorted Array[117] 5186
Sorted Array[118] 5267
Sorted Array[119] 5274
Sorted Array[120] 5366
Sorted Array[121] 5408
Sorted Array[122] 5408
Sorted Array[123] 5463
Sorted Array[124] 5551
Sorted Array[125] 5567
Sorted Array[126] 5580
Sorted Array[127] 5679
Sorted Array[128] 5715
Sorted Array[129] 5759
Sorted Array[130] 5777
Sorted Array[131] 5798
Sorted Array[132] 5804
Sorted Array[133] 5857
Sorted Array[134] 5879
Sorted Array[135] 5898
Sorted Array[136] 5995
Sorted Array[137] 6033
Sorted Array[138] 6083
Sorted Array[139] 6087
Sorted Array[140] 6162
Sorted Array[141] 6179
Sorted Array[142] 6193
Sorted Array[143] 6197
Sorted Array[144] 6224
Sorted Array[145] 6235
Sorted Array[146] 6411
Sorted Array[147] 6442
Sorted Array[148] 6576
Sorted Array[149] 6627
Sorted Array[150] 6633
Sorted Array[151] 6652
Sorted Array[152] 6691
Sorted Array[153] 6721
Sorted Array[154] 6748
Sorted Array[155] 6754
Sorted Array[156] 6781
Sorted Array[157] 6796
Sorted Array[158] 6879
Sorted Array[159] 6917
Sorted Array[160] 6947
Sorted Array[161] 7025
Sorted Array[162] 7068
Sorted Array[163] 7126
Sorted Array[164] 7154
Sorted Array[165] 7226
Sorted Array[166] 7262
Sorted Array[167] 7402
Sorted Array[168] 7407
Sorted Array[169] 7514
Sorted Array[170] 7538
Sorted Array[171] 7622
Sorted Array[172] 7658
Sorted Array[173] 7736
Sorted Array[174] 7802
Sorted Array[175] 7874
Sorted Array[176] 7945
Sorted Array[177] 7967
Sorted Array[178] 7970
Sorted Array[179] 7974
Sorted Array[180] 7978
Sorted Array[181] 8033
Sorted Array[182] 8131
Sorted Array[183] 8278
Sorted Array[184] 8344
Sorted Array[185] 8414
Sorted Array[186] 8454
Sorted Array[187] 8462
Sorted Array[188] 8561
Sorted Array[189] 8593
Sorted Array[190] 8732
Sorted Array[191] 8790
Sorted Array[192] 8891
Sorted Array[193] 8967
Sorted Array[194] 8969
Sorted Array[195] 8993
Sorted Array[196] 9018
Sorted Array[197] 9171
